etID  | Input | Popular Latin | Old Spanish | Middle Spanish | Output {GOLD}
130    | #fˌoliˈolɑ# | *#fˌoliˈolɑ# | *#ɸˌuʎwˈelɑ# | *#ˌuʃwˈelɑ# | *#uxwˈelɑ# {GOLD: #oxwˈelɑ#}
131    | #fˌoliˈoːsum# | *#fˌoliˈoːsum# | *#ɸˌuʎˈozo# | *#ˌuʃˈoso# | *#uxˈoso# {GOLD: #oxˈoso#}
132    | #d̪ˌisfˌollˈɑːre# | *#d̪ˌisfˌollˈɑːre# | *#d̪ˌesɸʎlˈɑɾe# | *#d̪ˌet͡ʃlˈɑɾ# | *#d̪et͡ʃlˈɑɾ# {GOLD: #d̪esoʝˈɑɾ#}
133    | #fˈollem# | *#fˈollem# | *#fwˈelle# | *#fwˈeʎe# | *#fwˈeʝe# {GOLD: #fwˈeʝe#}
134    | #fˈon̪t̪em# | *#fˈon̪t̪em# | *#fwˈen̪t̪e# | *#fwˈen̪t̪e# | *#fwˈen̪t̪e# {GOLD: #fwˈen̪t̪e#}
135    | #fˈorɑː# | *#fˈorɑː# | *#fwˈeɾɑ# | *#fwˈeɾɑ# | *#fwˈeɾɑ# {GOLD: #fwˈeɾɑ#}
136    | #fˈort̪em# | *#fˈort̪em# | *#fwˈeɾt̪e# | *#fwˈeɾt̪e# | *#fwˈeɾt̪e# {GOLD: #fwˈeɾt̪e#}
137    | #fˈort̪iɑ# | *#fˈort̪iɑ# | *#fwˈeɾt͡sɑ# | *#fwˈeɾs̪ɑ# | *#fwˈeɾθɑ# {GOLD: #fwˈeɾθɑ#}
138    | #fˈorum# | *#fˈorum# | *#fwˈeɾo# | *#fwˈeɾo# | *#fwˈeɾo# {GOLD: #fwˈeɾo#}
139    | #fˈossɑ# | *#fˈossɑ# | *#fwˈesɑ# | *#fwˈesɑ# | *#fwˈesɑ# {GOLD: #fwˈesɑ#}
