Latin_orthography,Latin_IPA,freqTFTL,Spanish_IPA,,
lātrāre,laːtraːre,,ladɾaɾ,,
blandum,blandum,,blándo,,
dūrum,duːrum,,dúɾo,,
rhombum,rhombum,,ɾómo,,
caldārium,kaldaːrium,,kaldéɾo,,
cēreola,keːreola,,θiɾwéla,,
ceresia,keresia,,θeɾéθa,,
cumulum,kumulum,,kólmo,,
porcum,porkum,,pwéɾko,,
saltum,saltum,,sálto,,
offōcāre,offoːkaːre,,aogáɾ,*,
ingenerāre,ingeneraːre,,enxendɾáɾ,,
hērēditāre,heːreːditaːre,,eɾedáɾ,,
molliāre,molliaːre,,moxáɾ,,
nōmināre,noːminaːre,,nombɾáɾ,,
trunculum,trunkulum,,tɾónʧo,,
lītigāre,liːtigaːre,,lidjáɾ,,
coāgulum,koaːgulum,,kwáxo,,
dēspoliāre,deːspoliaːre,,despoxáɾ,,
duplem,duplem,,dóble,,
doctum,doktum,,dúʧo,,
fasciam,faskiam,,áθa,,
laudāre,laudaːre,,loáɾ,,
fīxum,fiːxum,,fíxo,,
fūrtum,fuːrtum,,úɾto,,
recuperāre,rekuperaːre,,ɾekobɾáɾ,,
sigillum,sigillum,,séʎo,,
lixam,lixam,,líxa,,
lucrum,lukrum,,lógɾo,,
mātūrum,maːtuːrum,,madúɾo,,
tēctum,teːktum,,téʧo,,
trībulum,triːbulum,,tɾíʎo,,
vitreum,witreum,,bídɾjo,,
grānum,graːnum,,gɾáno,,
fel,fel,,jél,,
rāsum,raːsum,,ɾáso,,
coquīnārius,kokwiːnaːrius,,koθinéɾo,*,
pigmentum,pigmentum,,pimjénto,,
mēlōnem,meːloːnem,,melón,,
mola,mola,,mwéla,,
panem,panem,,pán,,
pānicula,paːnikula,,panóʧa,,
piscātus,piskaːtus,,peskádo,,
macrum,makrum,,mágro,,
lenticula,lentikula,,lentéxa,,
lactūcam,laktuːkam,,leʧúga,,
meus,meus,,míos,,
nostrum,nostrum,,nwéstɾo,,
ulmum,ulmum,,ólmo,,
lausiam,lawsiam,,lósa,,
cūnam,kuːnam,,kúna,,
cuneum,kuneum,,kúɲo,,
paradīsum,paradiːsum,,paɾaíso,,
fraxinum,fraxinum,,fɾésno,,
filictum,filiktum,,eléʧo,,
sufflāre,sufflaːre,,sopláɾ,,
hederam,hederam,,jédɾa,,
furnum,furnum,,óɾno,,
sagittam,sagittam,,saéta,,
sonōrum,sonoːrum,,sonóɾo,,
dracōnem,drakoːnem,,dɾagón,,
raphanus,rapʰanus,,ɾábano,,
cattum,kattum,,gáto,,
pitaccium,pitakkium,,pedáθo,,
fēnuculum,feːnukulum,,inóxo,,
centum,kentum,,θjénto,,
ringīre,ringiːre,,ɾeɲíɾ,,
stringō,stringoː,,estɾíɲo,,
mollīre,molliːre,,muʎíɾ,,
mancum,mankum,,mánko,,
īnfernum,iːnfernum,,infjéɾno,*,
caput,kaput,,kábo,,
flaccidum,flakkidum,,láθjo,,
solūtum,soluːtum,,swélto,,
tenerum,tenerum,,tjéɾno,,
quīnque,kwiːnkwe,,θínko,*,
quīndecim,kwiːndekim,,kínθe,,
capannam,kapannam,,kabáɲa,,
corōnam,koroːnam,,koɾóna,,
palumbam,palumbam,,palóma,,
lumbum,lumbum,,lómo,,
aratrum,aratrum,,aɾádo,,
humerum,humerum,,ómbɾo,,
fōrma,foːrma,,óɾma,,
socram,sokram,,swégɾa,*,
fabulāre,fabulaːre,,abláɾ,,
articulum,artikulum,,aɾtéxo,,
rapidum,rapidum,,ɾáwdo,,
consutūra,konsutuːra,,kostúɾa,,
molīnum,moliːnum,,molíno,,
spērāre,speːraːre,,espeɾáɾ,,
lenteum,lenteum,,ljénθo,,
vindēmia,windeːmia,,bendímja,,
venī,weniː,,bén,,
fēcī,feːkiː,,íθe,,
area,area,,éɾa,,
cunea,kunea,,kúɲa,,
laicum,laikum,,légo,,
mataxa,mataxa,,madéxa,,
labium,labium,,lábjo,,
rabia,rabia,,ɾábja,,
novācula,nowaːkula,,nabáxa,,
extrāneum,extraːneum,,extɾáɲo,,
tammagnum,tammagnum,,tamáɲo,,
lectum,lektum,,léʧo,,
nervium,nerwium,,néɾbjo,,
sedeat,sedeat,,séa,,
colligis,kolligis,,kóxes,,
sēpia,seːpia,,xíbja,*,
limpidum,limpidum,,límpjo,,
prōfectum,proːfektum,,pɾobéʧo,,
pignora,pignora,,pɾénda,,
videat,wideat,,béa,,
apiculam,apikulam,,abéxa,,
ligna,ligna,,léɲa,,
signa,signa,,séɲa,,
